trace,time_scale,policy,p50_ttft,p95_ttft,p50_e2e,p95_e2e,throughput_qps,num_requests
azure_trace_sample.csv,0.5,fifo,3802.4074500000015,7371.943645000004,3803.5594500000016,7372.903765000005,0.545168240936275,5000
azure_trace_sample.csv,0.5,two_stage,0.5441000000000145,169.08502000000007,1076.0734500000308,1541.744925000031,3.116311917144436,5000
azure_trace_sample.csv,0.5,two_stage_no_batch,0.5343500000002024,167.75071,1766.484400000021,6589.459845000027,0.5451682409362747,5000
azure_trace_sample.csv,0.5,two_stage_no_prefill,114.96999999999815,208.06656999999953,1076.0734500000278,1541.744925000028,3.116311917144442,5000
azure_trace_sample.csv,0.8,fifo,3504.8915000000015,6586.021395000004,3506.0435000000016,6586.981515000005,0.5451220111164548,5000
azure_trace_sample.csv,0.8,two_stage,0.7167999999981021,25.59154500000092,63.01659999999935,647.0473599999974,2.2480305117088473,5000
azure_trace_sample.csv,0.8,two_stage_no_batch,0.5179499999973132,11.30547999999953,1060.6141,6289.094540000003,0.5451220111164558,5000
azure_trace_sample.csv,0.8,two_stage_no_prefill,9.283350000000738,73.25937999999985,63.01659999999867,647.0473599999974,2.2480305117088486,5000
azure_trace_sample.csv,1.0,fifo,3307.139000000002,6062.664695000005,3308.291000000002,6063.624815000005,0.5450560500213194,5000
azure_trace_sample.csv,1.0,two_stage,1.1063499999992246,22.93177499999985,34.05684999999907,402.12849999999884,1.8018973185930007,5000
azure_trace_sample.csv,1.0,two_stage_no_batch,0.5422500000005357,7.230529999999283,482.87200000000036,6091.461409999992,0.5450560500213203,5000
azure_trace_sample.csv,1.0,two_stage_no_prefill,8.087049999999522,34.84739999999991,34.05684999999909,402.1284999999994,1.8018973185930007,5000
azure_trace_sample.csv,1.2,fifo,3109.621800000001,5539.543295000003,3110.773800000001,5540.503415000004,0.5449761277567041,5000
azure_trace_sample.csv,1.2,two_stage,1.0979999999998427,18.50820499999893,20.448699999998496,130.4744399999993,1.5027979242032614,5000
azure_trace_sample.csv,1.2,two_stage_no_batch,0.5766499999996313,3.5739850000021693,116.16964999999965,5887.757740000013,0.5449761277567043,5000
azure_trace_sample.csv,1.2,two_stage_no_prefill,3.8392000000017106,17.504585000000024,20.44869999999841,130.47443999999916,1.5027979242032614,5000
azure_trace_sample.csv,1.5,fifo,2813.5171500000015,4755.032345000005,2814.6691500000015,4755.992465000006,0.5448461266818019,5000
azure_trace_sample.csv,1.5,two_stage,1.2794500000000681,14.464795000000027,12.451499999999093,50.88898500000025,1.2037975575573527,5000
azure_trace_sample.csv,1.5,two_stage_no_batch,0.6188000000006753,2.6082450000017166,21.980550000005678,5686.873929999993,0.5448461266818025,5000
azure_trace_sample.csv,1.5,two_stage_no_prefill,2.816000000000031,14.829830000001596,12.451499999999093,50.88898500000013,1.2037975575573527,5000
azure_trace_sample.csv,2.0,fifo,2315.9818500000033,3447.5140950000064,2319.4330500000015,3448.4742150000066,0.5446295959957258,5000
azure_trace_sample.csv,2.0,two_stage,1.3319999999996526,11.448994999999336,7.730200000000309,31.860359999998845,0.9033062997845975,5000
azure_trace_sample.csv,2.0,two_stage_no_batch,0.7391500000004214,2.728260000004798,4.894700000006992,5369.805760000026,0.5446295959957246,5000
azure_trace_sample.csv,2.0,two_stage_no_prefill,2.2474499999996738,11.840460000000508,7.730200000000309,31.860359999998845,0.9033062997845975,5000
azure_trace_sample.csv,3.0,fifo,974.3417500000037,1335.9573000000023,976.2010499999999,1337.646019999999,0.5441626992489809,5000
azure_trace_sample.csv,3.0,two_stage,1.0772999999999229,8.617770000000288,5.131700000000137,19.244700000000737,0.6023796647227071,5000
azure_trace_sample.csv,3.0,two_stage_no_batch,0.9725500000101874,4.008355000019177,3.6827499999967586,2233.262349999991,0.5441626992489794,5000
azure_trace_sample.csv,3.0,two_stage_no_prefill,1.528549999999484,8.969660000000022,5.131700000000137,19.244700000000737,0.6023796647227071,5000
