arrival_time,input_tokens,output_tokens
165.246,2428,360
165.257,130,7
165.583,1180,92
166.545,251,56
166.797,6934,509
167.801,6185,475
167.842,746,348
168.901,798,137
169.008,255,60
169.593,1104,359
170.046,2099,39
170.579,353,386
170.842,1355,404
172.047,406,90
172.466,927,8
172.96,647,369
173.0,690,59
173.263,895,195
173.406,668,318
174.297,762,390
174.512,1027,337
175.989,462,341
176.012,1262,40
176.261,397,124
176.694,385,187
177.508,1631,144
178.009,960,138
178.259,3762,110
178.44,4211,77
178.501,1885,32
178.815,1064,407
178.858,921,353
179.744,1244,24
180.294,1205,282
180.321,426,383
181.001,682,50
181.008,1480,122
181.084,783,22
181.548,265,53
181.834,1467,27
182.002,265,59
182.022,1150,393
182.246,1413,172
182.691,1288,1
183.069,815,30
183.244,6132,281
183.268,439,584
183.546,9165,471
183.693,5043,155
183.753,3433,607
183.769,1464,68
183.94,451,139
184.094,876,98
184.153,924,22
184.467,839,291
184.941,684,57
185.008,1260,71
185.02,1715,604
185.268,727,1
185.568,141,19
185.65,1342,304
185.694,207,18
186.601,695,370
186.797,682,49
186.94,248,36
187.468,949,371
187.743,686,39
187.824,731,385
187.94,840,78
188.055,1953,129
188.252,3775,153
189.249,542,144
189.44,869,76
190.012,710,77
190.065,229,16
190.117,1480,136
190.753,4651,81
190.758,1789,42
190.799,595,471
190.799,1433,83
191.15,3296,499
191.324,705,145
191.508,985,26
191.548,1148,26
192.248,374,83
192.292,785,29
192.526,1433,71
192.743,128,12
192.821,916,173
192.997,1295,26
193.248,684,19
193.261,1391,27
193.291,1776,33
193.508,815,51
194.073,4187,80
194.269,2934,69
194.396,251,35
194.576,701,83
194.758,987,229
195.254,4631,103
196.004,1102,205
196.004,4183,115
196.096,804,307
196.245,389,302
196.263,995,89
196.767,769,343
197.403,1113,487
197.575,1952,561
197.575,1449,177
197.99,935,117
198.003,514,143
198.007,3350,344
198.062,1280,49
198.256,8835,291
198.256,4112,408
198.551,6851,19
